"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Ir40a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,1,0,1,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"Ir87a1",3,8,0,0,1,1,2,1,0,0,0,0,23,0,0,5,0,4,0,0,6,0,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,1,2,0,2,2,0,3,0,1,1,0,1,1,1,2,0,11,0,1,2,1,0,1,2,0,0,0,0,4,4,1,0,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,4,5,0,1,0,3,0,0,6,4,3,0,2,0,4,4,0,3,0,3,0,3,7,0,0,1,0,1,0,1,2,0,4,2,1,0,1,1,0,0,0,2,0,0,1,1,1,0,7,0,0,0,5,0,0,0,1,2,1,0,0,0,0,1,0,0,0
"Ir87a2",8,1,3,1,5,4,2,1,0,1,0,23,0,0,0,8,2,5,1,1,7,3,0,13,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,6,0,0,1,0,2,3,3,4,0,4,1,2,3,0,1,4,1,3,2,5,0,4,2,1,0,1,5,3,0,0,0,7,4,2,1,3,2,0,0,0,8,4,1,0,0,0,3,1,0,0,0,1,0,1,0,1,1,1,1,3,2,0,2,0,4,1,9,5,1,2,0,7,1,0,10,5,3,0,1,1,7,7,0,2,1,2,1,5,14,0,1,5,0,2,0,0,1,0,1,0,1,1,3,1,0,0,7,4,0,0,0,1,1,0,19,0,0,3,9,0,1,0,0,5,2,0,1,0,1,2,1,0,0
"Ir7j",1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,2,1,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,0,2,2,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,2,2,0,2,1,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"Ir100a",0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,2,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,1,0,0,1,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or11",18,18,4,2,10,6,1,1,3,3,1,5,8,0,0,0,5,12,3,1,31,3,0,27,1,1,2,0,1,1,1,1,5,0,0,1,1,1,2,0,1,3,0,0,5,1,2,2,3,25,7,10,2,8,8,9,8,9,4,9,4,1,6,8,6,6,4,11,1,21,4,11,7,4,0,4,12,5,5,0,0,16,11,4,1,9,4,2,2,1,19,13,2,1,0,1,5,2,0,0,1,0,2,1,1,7,1,2,4,2,11,0,19,1,4,18,26,18,0,13,0,18,0,1,17,6,6,5,11,2,15,18,2,12,1,15,5,13,45,1,9,26,1,13,3,0,4,1,9,13,4,3,11,5,1,0,3,17,2,1,6,3,2,1,47,1,0,5,35,1,0,3,0,14,0,0,6,0,0,3,2,0,0
"Or41",4,3,1,0,4,4,2,1,0,0,0,0,2,0,0,5,0,3,3,1,2,0,0,5,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,4,1,0,1,0,0,3,1,0,2,1,5,0,7,1,5,4,3,1,1,3,33,0,1,1,1,5,1,1,3,0,0,0,0,7,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,2,7,6,1,2,1,2,0,0,3,4,1,2,1,0,6,4,0,3,0,0,2,1,5,0,2,7,0,4,0,1,1,0,3,3,2,2,2,1,0,0,0,7,0,0,0,0,0,0,7,0,0,1,5,0,0,2,0,7,0,0,0,0,0,0,0,0,0
"Or79",8,10,8,2,58,46,4,2,2,1,0,4,5,1,1,12,3,0,43,14,12,4,2,19,1,25,44,0,0,9,3,0,4,1,0,0,2,1,1,0,0,2,0,1,3,0,1,1,0,9,7,2,0,3,5,4,4,4,5,11,0,2,6,9,2,7,3,7,2,14,1,12,9,7,0,8,7,1,3,1,0,14,8,3,3,6,3,1,1,0,14,3,4,1,0,0,2,0,0,1,0,0,2,1,0,2,2,2,7,1,6,0,9,4,1,5,10,9,0,4,0,7,0,0,13,3,0,2,7,0,7,6,3,7,0,9,3,12,21,0,3,16,0,10,1,1,4,0,5,4,1,0,5,2,2,3,1,15,2,0,4,2,1,0,35,1,0,4,22,3,0,0,0,12,0,0,3,0,0,1,1,0,0
"Or78",7,5,5,2,36,30,1,1,1,1,0,0,1,0,0,3,3,43,0,9,5,1,1,9,0,21,29,1,0,8,3,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,2,0,0,4,1,0,0,3,1,5,1,2,0,4,1,1,0,1,0,3,0,0,0,6,1,2,5,3,0,2,3,1,3,0,0,4,3,1,2,3,1,0,2,0,3,2,2,1,0,0,3,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,3,0,0,1,5,1,0,1,0,3,0,1,5,0,0,1,0,1,3,2,1,3,0,3,1,4,13,0,2,4,1,3,0,0,1,0,3,1,0,0,2,0,0,1,0,3,0,0,2,1,0,0,11,0,0,2,9,1,0,2,0,3,0,0,0,0,0,0,1,0,0
"Or76",1,2,0,0,14,12,0,0,0,0,0,0,1,0,0,1,1,14,9,0,2,1,0,3,0,8,11,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or36",35,191,7,2,12,6,7,3,6,3,2,6,7,1,3,31,2,12,5,2,0,7,3,36,1,5,7,1,18,3,3,2,38,0,0,1,4,0,2,0,1,7,0,1,6,0,2,0,0,29,13,6,2,8,7,13,19,10,7,19,1,3,13,9,4,16,9,13,6,31,3,22,24,10,0,6,26,3,9,3,2,28,6,2,1,11,7,2,1,1,24,19,4,11,1,10,8,3,2,0,1,4,3,1,1,3,0,1,7,4,9,1,16,3,8,19,31,21,1,11,1,25,1,0,37,17,4,2,14,3,17,22,3,14,2,118,4,26,197,0,14,56,2,15,1,3,5,1,59,80,3,3,18,4,2,4,2,35,2,2,8,4,1,1,91,1,0,10,72,2,0,3,1,25,2,0,7,0,0,1,0,0,1
"Or91",3,4,1,2,2,1,1,0,0,0,1,0,3,3,0,3,0,4,1,1,7,0,0,5,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,2,0,1,2,2,6,7,5,3,2,0,0,2,2,0,5,3,2,3,5,30,2,2,1,0,3,3,1,2,0,0,5,4,0,0,3,3,0,0,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,4,0,1,1,0,2,3,8,0,3,0,9,0,1,4,2,0,3,2,1,5,1,0,2,0,3,1,6,9,0,0,8,0,10,3,0,2,1,5,0,0,0,6,1,0,0,1,3,1,1,0,1,0,0,10,1,0,5,11,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"Or93",1,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,3,0,0,1,3,3,1,0,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,6,0,2,0,1,0,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,1,0,1,2,0,2,0,0,1,5,0,0,0,0,0,2,0,0,0,2,0,2,3,0,0,2,0,2,0,0,1,0,1,3,0,0,1,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Or47",150,32,19,9,22,12,39,13,4,5,1,6,13,1,2,27,5,19,9,3,36,5,1,0,0,3,18,1,2,12,10,0,4,1,0,1,3,1,21,0,1,5,0,0,6,10,4,2,1,27,10,3,2,9,12,16,13,13,4,21,5,5,12,12,3,10,11,12,6,42,8,37,10,17,1,5,92,5,7,4,4,32,22,7,3,16,11,3,2,3,124,15,56,0,1,5,8,3,1,0,0,3,5,2,2,1,1,2,11,5,29,3,17,8,5,21,28,22,1,17,3,39,0,2,27,17,4,2,17,0,20,17,8,36,0,17,12,31,57,0,14,54,2,43,1,2,12,4,28,21,6,10,17,7,1,3,5,38,0,1,11,12,2,1,98,2,0,10,67,4,1,3,0,34,0,0,7,0,1,8,2,0,0
"Or99",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,1,1,0,1,1,0,0,0,1,0,0,13,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,3,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Or77",2,3,3,2,23,21,0,0,0,1,0,0,2,0,0,1,2,25,21,8,5,1,3,3,1,0,21,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,0,1,1,0,1,1,1,4,0,0,2,1,0,0,1,1,0,2,1,3,1,1,0,1,2,1,1,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,2,0,0,3,0,1,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,1,2,5,0,0,2,0,1,0,0,0,0,2,1,0,0,1,0,1,1,1,2,0,0,1,1,0,0,7,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Or32",2,4,14,9,50,32,4,12,0,2,0,1,3,0,0,2,2,44,29,11,7,1,1,18,0,21,0,0,0,17,8,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,2,1,0,0,4,3,3,1,3,1,2,0,0,0,1,0,3,0,2,0,5,2,6,3,6,0,1,2,1,2,2,0,5,2,0,4,3,0,0,1,1,8,3,4,0,0,0,1,0,0,0,0,0,2,0,0,2,3,0,1,0,2,0,0,0,1,0,0,2,0,2,0,7,0,0,4,2,0,1,0,0,2,1,1,3,0,2,2,6,10,0,2,5,0,2,0,0,1,0,0,2,1,0,4,0,0,1,0,6,1,0,2,2,0,0,12,0,0,2,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Or73",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or131",2,13,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,0,1,0,1,2,1,1,0,0,2,0,1,0,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1,1,0,1,0,0,2,1,0,1,0,1,1,1,0,1,0,8,0,0,15,0,1,2,0,0,0,0,0,0,5,7,0,0,1,0,0,0,0,2,0,0,1,0,0,0,6,0,0,1,4,0,0,2,0,1,0,0,1,0,0,0,0,0,0
"Or51",2,1,16,11,25,6,7,15,0,1,0,0,2,0,0,1,1,9,8,2,3,1,1,12,0,5,17,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,3,0,1,0,2,1,2,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,8,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,1,2,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or57",1,1,15,12,18,2,9,18,0,0,0,0,0,0,0,1,0,3,3,1,3,0,0,10,0,0,8,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,2,0,2,2,0,0,0,1,1,0,0,1,0,3,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or92",0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,2,1,2,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,3,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,3,3,0,1,0,0,1,0,0,1,0,4,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir136",5,18,0,0,0,1,1,0,1,0,0,1,0,0,0,5,0,4,0,1,38,1,1,4,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,1,0,1,1,3,0,3,0,1,0,0,1,4,2,2,0,5,0,2,1,1,0,2,2,0,1,0,0,1,3,2,0,3,0,0,0,0,2,2,0,2,0,2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,0,1,3,2,0,4,0,6,1,0,7,2,3,0,4,1,7,0,0,2,0,25,0,1,20,0,1,6,0,1,0,2,1,0,6,14,0,0,1,2,0,2,0,3,0,0,1,0,0,0,14,0,0,1,4,0,0,1,0,2,1,0,1,0,0,0,1,0,0
