"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr20i","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Ir136",8,21,2,1,1,1,2,1,2,0,0,1,0,0,0,8,0,4,2,1,43,2,1,8,0,1,1,0,3,1,1,0,0,0,0,1,2,0,1,0,0,4,0,0,0,0,1,0,0,5,2,1,0,1,0,3,4,3,2,4,0,2,0,0,1,4,2,2,0,6,1,5,1,2,0,2,3,0,1,0,0,1,4,2,0,4,2,0,0,0,3,2,0,2,0,3,1,1,0,0,0,0,2,1,1,0,0,0,2,1,0,2,0,6,1,1,2,7,6,0,6,0,9,1,0,10,2,4,1,4,1,7,3,0,4,0,29,0,3,25,0,2,10,0,3,0,2,1,0,6,18,0,0,1,2,0,2,1,6,0,0,2,0,0,0,21,0,0,1,4,0,0,1,0,5,1,1,1,0,0,0,1,0,0
"Ir137",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir103",0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,4,0,2,0,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,2,0,1,1,0,2,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"Gr1",4,6,1,3,1,0,1,1,1,0,0,0,1,0,0,1,0,2,1,0,4,1,0,4,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,1,0,2,0,0,1,1,1,0,0,2,1,1,1,3,3,2,0,2,2,0,1,0,0,3,2,1,0,3,2,0,0,0,6,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,4,0,0,2,2,2,0,1,0,3,0,0,0,0,2,0,4,0,4,1,1,5,0,2,2,2,7,0,1,2,0,6,1,0,0,0,5,0,2,1,3,1,0,0,1,2,0,0,0,4,0,0,9,0,0,0,6,0,0,0,0,2,1,0,1,0,1,1,1,0,0
"Gr11",0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gr15",3,2,1,0,0,2,11,0,0,0,0,0,0,0,0,2,0,1,1,0,2,1,0,22,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,1,0,0,2,0,1,2,1,1,3,1,2,2,1,1,1,1,0,0,2,0,1,2,0,0,1,4,0,0,1,0,3,1,0,1,3,1,1,0,0,18,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,3,2,0,3,0,4,0,1,1,1,0,0,2,0,0,3,2,0,0,3,2,1,6,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Gr19c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr19a",1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr30",8,9,1,0,2,2,0,1,1,0,0,1,1,0,0,6,1,2,0,0,11,1,0,8,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,2,8,2,1,0,1,0,3,6,2,3,4,2,2,2,3,0,4,2,8,0,9,2,9,2,6,1,3,4,0,1,2,1,6,1,0,1,2,6,0,1,0,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,4,1,11,0,2,4,8,9,0,8,0,4,1,0,7,3,1,2,1,0,4,4,2,7,0,7,1,5,17,0,1,12,0,11,2,1,1,1,8,6,1,0,5,0,0,1,1,8,0,1,2,2,0,0,24,0,0,4,9,0,0,0,0,5,0,0,4,0,0,0,0,1,0
"Gr33a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr39h",0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr64",7,5,1,0,2,4,1,0,0,1,0,0,5,0,0,7,1,4,1,0,7,1,0,10,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,10,2,1,1,2,1,0,4,3,0,2,1,4,2,2,1,2,1,3,0,2,0,12,2,4,0,1,3,1,2,0,0,8,3,1,1,1,3,1,2,0,9,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,3,1,4,0,2,0,4,5,6,5,0,6,0,4,0,0,4,6,0,0,1,0,3,3,1,5,0,4,3,8,10,0,1,13,0,4,0,0,1,0,6,4,1,1,11,2,0,0,1,10,0,0,0,0,0,1,13,0,0,2,11,1,0,0,0,8,0,0,1,0,0,1,0,0,0
"Gr66",2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gr67a",5,3,1,1,2,0,1,0,1,1,0,0,0,0,0,5,0,1,2,0,4,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,2,1,2,0,1,1,1,0,3,1,1,0,3,2,3,0,2,0,0,3,0,1,0,1,4,0,1,1,0,2,1,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0,1,4,0,1,0,2,0,0,4,1,0,0,2,1,3,3,0,7,0,3,0,0,5,1,0,8,0,17,0,0,0,0,11,0,0,0,3,0,1,1,0,6,0,0,2,3,0,1,8,0,0,1,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0
"Gr74a",4,0,0,0,1,1,1,1,0,0,1,0,2,1,0,2,2,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,1,1,1,0,2,1,1,2,0,0,1,4,2,0,2,0,2,1,1,0,2,1,1,0,0,0,0,3,0,0,2,1,0,0,0,3,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,0,2,1,0,4,0,0,1,0,4,2,0,0,1,0,1,3,0,2,0,2,1,3,4,0,2,5,0,2,0,1,0,1,3,1,1,0,3,1,0,0,0,4,0,0,1,1,0,0,10,0,0,0,5,1,0,1,0,3,0,0,0,0,0,1,0,1,0
"Ir21a",5,2,0,0,2,1,1,0,0,1,0,0,1,0,0,4,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,6,3,0,1,1,1,1,2,3,0,4,2,1,2,3,1,1,0,1,1,2,0,6,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1,2,0,0,3,1,20,2,2,3,0,1,1,5,1,0,1,4,0,0,1,0,5,2,1,4,0,1,1,3,6,0,1,5,0,4,0,0,1,0,3,1,4,2,1,0,1,0,0,4,0,0,0,1,0,0,9,1,0,0,6,0,0,0,0,5,1,0,1,0,0,0,0,0,0
"Ir64a",31,41,7,2,10,9,10,5,2,3,3,7,8,2,1,31,3,17,8,1,46,13,5,46,3,7,7,1,1,4,3,2,5,2,0,1,1,0,3,0,0,8,0,0,10,1,2,6,6,0,8,11,1,6,16,19,22,12,13,15,8,6,12,4,4,17,9,3,7,42,7,40,17,21,2,13,14,3,6,1,2,30,23,3,4,21,17,1,4,2,16,12,3,2,2,3,8,5,1,0,0,2,0,1,0,0,4,1,4,9,2,14,1,19,4,14,9,27,22,1,22,1,31,0,0,33,11,8,5,15,2,15,13,4,17,1,25,7,21,75,0,9,56,4,25,1,3,13,1,19,22,5,2,18,6,5,2,2,51,3,1,11,3,0,0,93,1,0,7,53,4,3,0,1,43,0,0,4,0,0,3,3,2,0
"Ir75c",17,12,2,0,4,1,4,1,0,5,1,0,0,0,2,8,0,7,1,2,16,2,1,12,0,2,1,0,1,0,0,0,2,1,0,1,1,0,1,0,0,2,0,1,2,0,0,0,3,8,0,3,2,1,6,9,9,14,3,8,1,2,114,111,2,6,6,6,0,8,3,15,3,6,1,2,3,0,4,1,2,9,5,1,1,3,5,1,0,1,10,4,2,0,0,0,4,0,0,0,0,0,0,0,4,0,3,1,3,1,0,5,2,5,4,5,6,11,7,0,11,0,21,0,0,12,8,0,0,7,2,4,5,0,4,1,6,0,6,21,1,3,23,1,9,0,2,2,1,8,3,1,0,3,2,1,0,1,16,1,1,3,0,0,0,38,1,0,9,28,0,0,1,0,13,1,0,4,0,0,1,1,0,0
"Or45",9,6,2,1,1,3,2,1,0,0,0,1,0,2,1,10,0,3,0,0,8,1,0,5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,11,3,0,0,2,1,2,3,3,1,5,0,1,2,2,1,1,2,3,3,4,1,5,2,1,0,1,1,0,3,0,0,7,57,0,0,50,2,0,0,0,3,4,1,0,1,0,1,0,0,1,0,0,0,0,1,2,2,3,0,1,2,5,1,1,0,2,4,2,5,0,3,0,8,0,0,8,6,2,1,3,1,2,4,0,5,0,3,1,8,15,0,2,4,0,6,0,0,1,0,4,4,0,0,2,1,0,1,1,7,0,0,1,1,1,0,27,0,0,0,3,2,0,1,0,7,0,0,2,0,0,2,0,0,0
"Or9",2,2,1,1,2,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,2,2,0,2,0,2,0,1,3,0,0,2,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Or2",10,14,2,3,8,5,1,1,2,1,0,1,0,0,0,10,1,4,4,1,9,2,1,13,1,1,5,0,0,1,2,0,1,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,6,1,2,0,0,5,13,7,4,7,7,3,0,2,3,2,6,1,4,1,10,2,6,8,5,1,3,6,2,1,1,0,12,3,0,0,3,5,0,1,2,5,2,1,0,1,1,2,2,1,1,0,0,0,2,0,0,0,1,0,2,2,6,0,6,3,1,5,8,10,2,5,0,11,0,0,7,6,2,0,1,1,5,8,2,5,0,3,0,6,19,0,3,13,0,6,1,0,4,3,10,3,1,1,3,0,1,0,0,11,0,0,2,2,0,1,24,0,0,4,13,0,0,2,0,10,0,0,2,0,0,0,1,0,0
"Or10",14,9,5,3,13,3,2,2,0,2,1,2,3,0,0,14,1,7,2,1,9,6,0,21,2,1,4,1,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,16,6,1,0,5,0,9,9,5,9,6,3,1,4,7,4,6,1,9,2,6,2,12,5,8,2,3,1,1,2,4,1,12,4,3,4,3,7,1,0,2,7,2,3,2,1,8,3,1,0,0,0,0,0,2,1,0,1,0,2,2,0,5,0,6,1,4,6,18,13,1,5,1,9,1,0,12,10,5,2,7,1,6,8,0,9,0,8,4,11,16,1,5,16,1,9,1,0,0,1,6,4,1,0,12,1,1,0,0,18,0,0,1,0,1,0,33,0,0,4,23,0,1,0,0,14,1,0,3,0,1,0,3,0,0
"Ir75e",20,14,1,0,9,4,3,2,3,3,1,1,3,0,1,14,1,6,6,3,21,7,1,26,0,1,4,0,3,0,1,1,3,0,1,1,1,0,1,0,0,3,0,1,0,0,1,1,1,19,9,2,2,13,9,0,52,12,49,13,3,4,10,7,1,6,5,3,1,16,7,15,12,6,1,6,7,0,4,5,1,14,13,3,8,8,37,4,1,0,12,9,2,3,0,2,3,0,1,1,0,2,0,1,2,0,3,2,1,4,1,12,0,15,2,2,9,13,13,1,12,1,25,0,1,22,2,1,2,9,2,11,12,1,13,2,15,3,11,40,0,3,29,4,18,0,1,2,1,13,10,2,3,5,2,2,1,2,19,0,0,1,4,0,0,58,1,0,1,35,1,0,0,0,14,1,0,5,0,0,2,0,0,0
"Ir75g",21,16,3,2,8,8,6,2,2,2,0,2,4,1,1,15,5,6,5,1,23,8,2,27,1,3,5,0,2,1,2,1,4,1,0,2,3,0,2,0,2,6,0,0,4,0,0,1,2,22,9,3,0,7,9,52,0,11,48,13,4,2,10,6,2,11,8,9,1,21,6,16,12,11,1,11,8,0,6,4,1,12,11,1,6,12,39,1,2,0,17,7,2,2,0,0,7,6,2,0,0,1,4,0,2,2,1,1,1,5,3,15,1,9,2,3,14,19,16,0,16,1,22,3,1,26,6,4,4,9,2,13,12,4,11,0,13,2,11,37,0,5,39,6,23,0,3,3,2,14,11,1,5,18,2,0,1,4,24,1,0,3,4,0,0,57,1,0,9,22,2,0,1,0,17,3,0,2,0,0,1,3,0,0
"Ir75h",19,14,3,5,12,1,4,4,3,19,0,2,6,1,0,13,1,5,3,1,15,6,0,17,1,2,5,0,1,3,1,3,3,0,0,0,1,0,1,0,0,2,0,1,3,0,2,1,3,12,14,3,0,4,5,12,11,0,6,8,0,2,12,12,1,8,7,9,3,13,0,14,5,3,0,5,7,2,4,4,1,12,6,2,4,9,6,1,1,1,12,11,3,1,1,1,4,3,0,1,0,1,1,3,0,0,4,1,1,3,2,7,0,10,2,7,7,21,17,0,14,1,15,0,0,14,8,1,1,8,3,11,15,1,4,0,6,2,10,30,0,5,25,1,10,1,4,4,0,9,5,4,2,5,1,5,1,6,17,1,0,4,3,0,0,49,1,0,8,39,0,0,0,0,11,0,0,2,1,1,0,1,0,0
"Ir75f",5,13,3,2,5,6,3,3,1,1,0,0,0,0,1,6,1,6,2,1,9,4,0,11,1,2,4,0,0,1,3,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,13,3,1,0,7,9,49,48,6,0,4,2,0,2,1,0,7,4,4,0,8,3,4,8,1,1,3,2,0,1,1,2,1,4,0,3,4,43,0,0,1,6,2,1,1,0,0,4,1,2,0,0,1,0,0,0,0,2,1,0,4,2,5,0,3,1,0,7,4,11,0,5,0,11,1,0,14,2,2,1,0,1,6,3,1,2,0,3,3,7,13,0,3,17,6,8,2,0,1,3,3,1,0,0,4,0,1,0,1,8,0,1,1,2,0,0,22,0,0,4,18,1,0,0,0,5,1,0,0,0,0,0,1,0,0
"Or69",25,20,4,3,10,8,3,1,3,2,0,3,5,0,3,10,2,12,4,2,24,3,3,30,3,6,4,0,3,2,1,3,4,1,0,0,2,1,3,0,0,4,0,0,2,0,2,2,4,15,8,5,1,7,6,13,13,8,4,0,4,5,9,7,2,13,3,6,1,18,0,22,10,14,10,8,6,2,2,2,2,18,9,1,2,9,7,2,1,2,16,13,2,2,0,4,2,4,0,0,1,1,1,2,5,3,2,1,4,10,3,13,0,11,6,5,5,25,17,3,5,1,21,0,3,16,14,4,2,2,3,12,9,3,17,1,12,3,19,36,0,8,38,0,11,2,1,3,4,14,13,2,1,11,1,3,0,3,31,2,1,3,1,2,0,53,2,0,3,33,1,0,4,0,32,2,1,2,0,0,0,0,0,0
"Or15",1,2,0,0,3,2,2,0,1,1,0,0,2,0,0,4,2,1,2,0,3,0,1,8,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,2,8,1,0,0,3,3,3,4,0,2,4,0,20,2,4,3,3,3,1,0,4,2,1,1,1,0,1,6,2,0,1,1,3,1,0,0,1,2,0,1,0,2,3,2,0,0,0,2,3,0,0,0,0,1,1,0,0,3,0,1,1,1,3,0,3,1,2,5,2,6,0,4,1,4,0,1,3,2,2,0,2,3,3,4,4,2,0,2,1,4,11,0,1,5,0,3,2,1,1,3,3,0,0,0,4,1,0,0,0,4,0,1,0,1,0,0,11,0,1,3,14,1,0,3,0,4,0,0,1,0,0,0,1,0,0
"Or14",5,6,1,1,1,2,4,1,1,0,0,1,3,0,0,2,0,2,1,0,6,0,0,8,1,0,1,0,1,1,1,0,2,0,0,0,0,0,2,0,0,2,0,0,4,0,1,1,1,6,2,1,0,0,1,4,2,2,0,5,20,0,3,3,2,4,1,2,1,6,1,5,1,2,0,2,7,1,0,2,1,3,2,1,3,2,3,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0,4,2,8,5,1,2,0,7,0,1,7,3,0,0,2,2,4,6,1,3,0,3,0,2,13,0,2,11,0,3,0,1,0,0,6,4,2,0,3,2,0,0,0,5,0,0,0,1,0,0,15,0,1,1,10,0,0,1,0,9,0,0,0,0,0,1,0,0,0
"Ir75b",14,11,3,0,5,2,2,1,0,4,2,1,3,0,0,8,3,7,0,1,15,2,1,15,1,2,0,0,2,0,0,1,0,1,0,0,1,1,2,0,0,2,0,0,2,1,1,2,2,12,114,2,1,2,4,10,10,12,2,9,2,3,0,115,2,7,5,5,1,6,3,14,5,4,0,3,5,2,4,1,1,12,4,1,1,1,3,1,0,0,12,5,1,0,0,1,6,1,0,1,0,0,2,0,2,0,2,0,2,0,0,4,0,7,3,3,5,14,10,2,9,1,13,0,0,9,9,3,1,3,0,5,6,0,2,0,6,1,5,21,0,3,18,1,5,2,1,0,3,7,6,1,1,6,1,1,0,2,15,0,2,3,0,0,0,41,0,0,9,23,3,0,2,1,10,0,0,3,0,0,2,3,1,0
"Ir75a",15,11,2,0,5,3,1,2,1,5,1,0,0,0,0,11,1,10,2,1,11,3,0,14,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,3,0,1,2,0,1,0,3,4,111,2,1,3,7,7,6,12,1,7,4,3,115,0,3,8,5,5,2,7,4,14,3,7,1,3,3,2,4,2,1,10,6,1,5,5,2,3,0,0,8,5,0,0,0,1,4,1,0,2,0,0,1,1,3,0,2,1,3,1,1,8,1,5,4,5,4,15,8,1,10,0,15,0,0,8,5,2,0,8,1,4,6,0,9,0,9,1,2,25,1,2,21,1,13,2,2,1,2,13,4,2,1,6,0,1,1,2,17,1,0,1,0,0,0,41,0,1,15,27,0,0,2,0,10,0,1,5,0,0,2,0,0,0
"Or31",3,3,0,0,1,0,0,0,0,0,1,1,1,0,0,8,0,3,0,0,4,2,0,7,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,4,2,1,0,2,4,1,2,1,0,2,3,2,2,3,0,2,1,3,0,3,0,5,1,1,0,0,3,0,0,0,0,3,3,0,0,2,2,0,0,0,1,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,2,0,1,0,1,2,3,3,0,1,0,6,0,0,3,3,0,1,2,1,1,6,0,3,0,3,0,1,4,1,2,5,0,1,0,0,1,0,1,2,0,1,1,0,0,1,0,3,0,0,1,0,0,0,14,0,0,3,2,0,0,1,0,3,1,0,0,0,0,2,1,1,0
"Or122",16,19,3,4,6,11,2,3,0,1,0,1,5,1,0,10,2,10,6,1,20,8,0,15,0,1,5,0,1,2,1,1,4,0,0,0,0,2,1,0,0,4,0,0,2,0,3,1,1,17,6,1,0,6,6,6,11,8,7,13,3,4,7,8,2,0,1,9,2,11,6,10,51,6,1,8,4,0,6,3,2,5,8,2,6,7,10,0,2,0,12,2,3,1,1,3,1,1,0,1,0,0,0,0,2,0,2,1,3,6,0,8,0,4,0,2,9,22,11,0,9,1,11,1,0,15,7,1,1,3,3,8,9,1,10,1,8,3,11,30,1,4,21,0,15,2,1,5,1,15,9,0,1,10,2,2,0,2,10,2,1,4,0,0,0,44,0,0,3,26,0,1,1,0,10,1,0,4,0,0,0,2,0,0
"Or125",9,7,0,0,0,1,0,1,0,1,0,1,2,0,0,11,1,3,0,1,13,3,2,15,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,0,0,2,0,1,1,0,1,4,0,9,6,2,0,1,1,5,8,7,4,3,3,1,5,5,1,1,0,6,0,38,4,6,4,4,0,2,3,1,3,0,2,9,9,0,1,7,6,1,1,1,7,4,0,2,0,1,2,3,0,0,0,0,1,0,1,1,0,1,1,4,1,4,0,1,2,1,7,9,10,1,6,0,8,0,0,7,2,1,0,5,1,8,7,2,4,0,9,0,8,19,0,4,8,2,7,1,0,5,0,3,3,2,1,4,1,7,0,0,8,0,0,1,0,0,0,19,0,0,5,18,1,0,1,0,3,0,0,1,0,0,1,0,1,0
